Image,CD20p_S,CD3pCD8nPD1n_S,CD3pCD8nPD1p_S,CD3pCD8pPD1n_S,CD3pCD8pPD1p_S,CD68pPDL1n_S,CD68pPDL1p_S,CD79ApCD20n_S,CKpPDL1p_S,Negative_S,PD1p_S,CD20p_E,CD3pCD8nPD1n_E,CD3pCD8nPD1p_E,CD3pCD8pPD1n_E,CD3pCD8pPD1p_E,CD68pPDL1n_E,CD68pPDL1p_E,CD79ApCD20n_E,CKpPDL1p_E,Negative_E,PD1p_E,area_stroma,area_epi,SEC_ROW_COL,ID
"CIHR DOD WU3IROC_Core[1,5,7]_[15597,36426]_component_data.tif - resolution #1",5,6,3,17,2,60,0,0,0,746,0,0,2,0,3,0,8,0,0,0,2496,0,0.1717411,0.2118576,"1,5,7",026 (om)
"CIHR DOD WU3IROC_Core[1,5,8]_[15502,37762]_component_data.tif - resolution #1",0,9,3,8,2,78,0,0,0,567,0,0,4,1,2,1,36,0,0,0,3531,0,0.0990679,0.2810357,"1,5,8",026 (om)
"CIHR DOD WU3IROC_Core[1,5,9]_[15334,39051]_component_data.tif - resolution #1",0,0,0,7,3,32,0,0,0,360,0,0,0,0,0,0,4,0,1,0,411,0,0.0939599,0.0237904,"1,5,9",026 (ov)
"CIHR DOD WU3IROC_Core[1,6,1]_[14666,29004]_component_data.tif - resolution #1",0,15,24,17,9,148,25,19,0,614,4,1,7,6,4,5,50,14,3,0,1950,1,0.1538164,0.2213214,"1,6,1",032(ov)
"CIHR DOD WU3IROC_Core[1,6,10]_[14117,39862]_component_data.tif - resolution #1",0,1,0,1,0,28,1,0,0,1038,3,0,0,0,0,0,15,0,0,0,2258,0,0.12480680000000001,0.23146029999999998,"1,6,10",037(pm)
"CIHR DOD WU3IROC_Core[1,6,3]_[14642,31486]_component_data.tif - resolution #1",1,4,10,5,4,3,15,2,0,70,1,0,7,5,4,12,13,8,1,3,2198,9,0.038398699999999994,0.2106374,"1,6,3",033
"CIHR DOD WU3IROC_Core[1,6,4]_[14642,32583]_component_data.tif - resolution #1",0,16,15,4,6,87,36,0,0,180,11,0,5,8,3,13,66,24,0,6,2764,19,0.0627376,0.2372306,"1,6,4",033
"CIHR DOD WU3IROC_Core[1,6,7]_[14356,36354]_component_data.tif - resolution #1",0,1,0,0,0,73,0,0,0,1471,0,0,0,0,0,0,1,0,0,0,77,0,0.3131968,0.0165608,"1,6,7",036
"CIHR DOD WU3IROC_Core[1,6,8]_[14308,37499]_component_data.tif - resolution #1",0,14,6,38,11,78,0,3,0,1322,1,1,3,2,6,4,56,0,1,0,1175,1,0.22756320000000002,0.11813169999999999,"1,6,8",036
"CIHR DOD WU3IROC_Core[1,7,1]_[13378,29051]_component_data.tif - resolution #1",0,0,1,1,0,54,0,0,0,485,0,0,0,0,0,0,15,0,0,0,1122,0,0.1154177,0.1485919,"1,7,1",045(ov)
"CIHR DOD WU3IROC_Core[1,7,10]_[12853,39934]_component_data.tif - resolution #1",0,16,14,19,26,77,0,16,0,874,2,0,0,1,0,3,5,0,0,0,1018,0,0.1919894,0.108314,"1,7,10",037(om)
"CIHR DOD WU3IROC_Core[1,7,2]_[13402,30221]_component_data.tif - resolution #1",0,1,0,0,1,19,0,0,0,417,0,0,0,0,0,0,13,0,0,0,1269,0,0.0976876,0.1708742,"1,7,2",045(ov)
"CIHR DOD WU3IROC_Core[1,7,3]_[13354,31414]_component_data.tif - resolution #1",0,1,0,0,0,0,0,1,0,28,1,0,5,8,3,2,43,7,0,0,5479,2,0.0025233,0.43802409999999997,"1,7,3",042 (ov2/2)
"CIHR DOD WU3IROC_Core[1,7,4]_[13306,32703]_component_data.tif - resolution #1",11,24,62,46,50,77,27,39,0,668,18,0,8,42,20,34,99,17,5,0,3329,22,0.1247949,0.2533543,"1,7,4",042 (ov2/2)
"CIHR DOD WU3IROC_Core[1,7,5]_[13234,33896]_component_data.tif - resolution #1",2,61,32,70,30,115,16,19,4,962,7,2,1,4,5,4,8,3,21,5,551,4,0.2488226,0.0739736,"1,7,5",040(om)
"CIHR DOD WU3IROC_Core[1,7,6]_[13187,35065]_component_data.tif - resolution #1",94,117,70,95,56,218,3,21,0,802,13,1,5,5,0,0,16,2,19,0,459,3,0.2386802,0.08452230000000001,"1,7,6",040(om)
"CIHR DOD WU3IROC_Core[1,7,7]_[13187,36330]_component_data.tif - resolution #1",0,0,1,0,0,18,1,0,0,201,2,0,123,4,0,1,14,5,0,17,1976,0,0.0920597,0.217606,"1,7,7",038(ov)
"CIHR DOD WU3IROC_Core[1,7,8]_[13044,37595]_component_data.tif - resolution #1",1,2,0,0,0,5,0,0,0,84,0,0,76,0,0,0,9,0,0,2,1525,3,0.0182996,0.164922,"1,7,8",038(ov)
"CIHR DOD WU3IROC_Core[1,7,9]_[12948,38788]_component_data.tif - resolution #1",10,29,71,20,38,154,6,37,4,731,14,0,2,6,1,8,45,0,0,0,1364,2,0.1689436,0.1319735,"1,7,9",037(om)
"CIHR DOD WU3IROC_Core[1,8,1]_[12137,29075]_component_data.tif - resolution #1",0,25,8,23,2,71,0,4,0,824,1,0,10,5,3,0,49,0,0,0,446,2,0.153741,0.0398268,"1,8,1",046(om)
"CIHR DOD WU3IROC_Core[1,8,10]_[11755,39862]_component_data.tif - resolution #1",0,5,3,0,0,33,0,0,0,401,0,0,10,14,6,0,68,10,0,0,2097,3,0.056429400000000005,0.30287509999999995,"1,8,10",051 (rov)
"CIHR DOD WU3IROC_Core[1,8,3]_[12137,31462]_component_data.tif - resolution #1",0,0,0,0,0,42,2,0,0,303,1,0,0,1,1,0,11,0,0,0,2926,0,0.0618279,0.2265799,"1,8,3",046(ov)
"CIHR DOD WU3IROC_Core[1,8,9]_[11826,38645]_component_data.tif - resolution #1",0,1,1,0,0,24,0,0,0,537,0,0,1,6,1,1,23,0,0,0,2895,0,0.0609816,0.310434,"1,8,9",051 (rov)
"CIHR DOD WU3IROC_Core[2,1,1]_[9696,28982]_component_data.tif - resolution #1",0,10,11,17,3,67,34,0,3,217,1,0,5,6,2,3,41,5,2,0,1188,2,0.0459606,0.1514988,"2,1,1",051 (lov)
"CIHR DOD WU3IROC_Core[2,1,10]_[9362,39697]_component_data.tif - resolution #1",1,3,1,0,0,33,1,0,0,563,0,0,2,0,0,0,11,0,0,0,1964,0,0.11072130000000001,0.2242798,"2,1,10",057(ov)
"CIHR DOD WU3IROC_Core[2,1,3]_[9744,31368]_component_data.tif - resolution #1",0,0,1,0,0,15,1,0,0,472,0,0,2,0,0,0,7,0,0,0,1090,1,0.06897460000000001,0.10086339999999999,"2,1,3",052(ov)
"CIHR DOD WU3IROC_Core[2,1,4]_[9744,32537]_component_data.tif - resolution #1",1,1,0,1,0,11,3,0,0,1177,0,0,0,0,0,0,2,0,0,0,652,0,0.2138014,0.0628088,"2,1,4",052(ov)
"CIHR DOD WU3IROC_Core[2,1,5]_[9601,33659]_component_data.tif - resolution #1",0,0,0,1,1,41,0,3,0,1511,0,0,0,0,1,0,8,0,0,0,721,0,0.1984245,0.0929812,"2,1,5",055(ov)
"CIHR DOD WU3IROC_Core[2,1,6]_[9553,34876]_component_data.tif - resolution #1",0,1,0,1,0,29,0,2,0,760,2,0,0,0,0,0,0,0,0,0,179,0,0.1845505,0.019581,"2,1,6",055(ov)
"CIHR DOD WU3IROC_Core[2,1,7]_[9505,36093]_component_data.tif - resolution #1",0,0,0,0,0,12,0,0,0,204,0,0,0,0,0,0,13,0,0,0,3655,2,0.0264587,0.3819743,"2,1,7",056(om)
