Image,CD20p_S,CD3pCD8nPD1n_S,CD3pCD8nPD1p_S,CD3pCD8pPD1n_S,CD3pCD8pPD1p_S,CD68pPDL1n_S,CD68pPDL1p_S,CD79ApCD20n_S,CKpPDL1p_S,Negative_S,PD1p_S,CD20p_E,CD3pCD8nPD1n_E,CD3pCD8nPD1p_E,CD3pCD8pPD1n_E,CD3pCD8pPD1p_E,CD68pPDL1n_E,CD68pPDL1p_E,CD79ApCD20n_E,CKpPDL1p_E,Negative_E,PD1p_E,area_stroma,area_epi,SEC_ROW_COL,ID
"CIHR DOD WU3IROC_Core[3,5,10]_[14450,53392]_component_data.tif - resolution #1",0,3,0,2,0,54,4,2,0,680,1,0,0,0,1,0,22,0,0,0,814,0,0.1047353,0.10677210000000001,"3,5,10",102(ov)
"CIHR DOD WU3IROC_Core[3,5,5]_[15047,47474]_component_data.tif - resolution #1",3,73,14,131,2,180,2,2,0,1880,3,0,4,2,11,0,5,1,2,0,501,0,0.3584011,0.063623,"3,5,5",120(om)
"CIHR DOD WU3IROC_Core[3,5,6]_[14952,48667]_component_data.tif - resolution #1",9,155,46,291,10,175,6,5,0,1873,2,0,24,0,25,2,15,1,0,0,994,0,0.37826459999999995,0.14353629999999998,"3,5,6",120(om)
"CIHR DOD WU3IROC_Core[3,5,7]_[14808,49932]_component_data.tif - resolution #1",13,180,61,325,63,186,0,8,0,2212,12,0,2,3,5,1,14,0,0,0,401,0,0.31131309999999995,0.0648093,"3,5,7",121(om)
"CIHR DOD WU3IROC_Core[3,5,9]_[14570,52318]_component_data.tif - resolution #1",3,1,3,2,0,36,5,8,0,339,0,0,2,0,0,0,7,0,0,0,396,1,0.0669733,0.0489822,"3,5,9",102(ov)
"CIHR DOD WU3IROC_Core[3,6,1]_[14116,42462]_component_data.tif - resolution #1",0,0,0,2,1,24,2,0,0,72,0,0,5,1,10,10,95,5,0,0,3553,0,0.0127706,0.4199222,"3,6,1",126(om)
"CIHR DOD WU3IROC_Core[3,6,2]_[14045,43727]_component_data.tif - resolution #1",0,7,2,11,5,24,10,0,0,281,2,1,4,4,10,11,65,3,0,1,2204,1,0.0368563,0.387096,"3,6,2",126(om)
"CIHR DOD WU3IROC_Core[3,6,4]_[13926,46209]_component_data.tif - resolution #1",0,9,4,12,0,98,2,1,0,252,1,0,11,3,17,12,109,3,0,1,1947,3,0.074646,0.17850729999999998,"3,6,4",123(ov)
"CIHR DOD WU3IROC_Core[3,6,6]_[13758,48548]_component_data.tif - resolution #1",27,62,18,219,21,106,0,26,0,1161,1,0,18,0,0,1,0,0,0,0,146,0,0.2646271,0.0163656,"3,6,6",122(om)
"CIHR DOD WU3IROC_Core[3,7,1]_[12852,42390]_component_data.tif - resolution #1",0,3,2,0,1,32,2,3,1,812,3,0,28,0,0,0,11,0,0,0,1778,0,0.1404407,0.2088972,"3,7,1",127(rov)
"CIHR DOD WU3IROC_Core[3,7,5]_[12565,47259]_component_data.tif - resolution #1",4,5,3,8,1,16,12,3,1,4003,1,2,9,6,13,8,71,14,0,5,805,0,0.2577885,0.10650319999999999,"3,7,5",133(rov)
"CIHR DOD WU3IROC_Core[3,7,8]_[12279,50839]_component_data.tif - resolution #1",3,12,2,11,6,113,4,2,0,757,3,0,0,0,0,2,8,0,0,0,341,0,0.17961860000000002,0.0595103,"3,7,8",134(om)
"CIHR DOD WU3IROC_Core[4,1,1]_[10582,42301]_component_data.tif - resolution #1",2,21,10,21,10,70,0,0,0,899,0,0,42,7,17,3,73,0,0,0,3309,1,0.1065151,0.3414399,"4,1,1",136(lov)
"CIHR DOD WU3IROC_Core[4,1,2]_[10535,43590]_component_data.tif - resolution #1",1,18,18,16,8,73,0,0,0,774,2,0,14,7,19,10,92,0,0,0,3613,2,0.0940095,0.35652809999999996,"4,1,2",136(lov)
"CIHR DOD WU3IROC_Core[4,1,5]_[10272,46979]_component_data.tif - resolution #1",83,67,25,14,10,105,4,2,3,2524,10,0,2,2,0,0,13,0,0,0,114,0,0.2953172,0.018796,"4,1,5",138(rov)
"CIHR DOD WU3IROC_Core[4,1,6]_[10248,48148]_component_data.tif - resolution #1",119,152,48,36,19,81,2,9,1,1579,19,3,29,7,12,2,77,0,4,0,1828,4,0.16195179999999998,0.16638529999999999,"4,1,6",138(rov)
"CIHR DOD WU3IROC_Core[4,2,10]_[8649,52897]_component_data.tif - resolution #1",0,2,0,2,0,3,5,0,2,261,0,0,0,1,0,0,10,0,0,0,2146,0,0.043409699999999996,0.29226779999999997,"4,2,10",225
"CIHR DOD WU3IROC_Core[4,2,5]_[9103,46907]_component_data.tif - resolution #1",60,16,88,10,36,19,143,235,9,391,34,16,18,70,24,155,41,116,44,7,1999,33,0.0955638,0.26603459999999995,"4,2,5",155(rov)
"CIHR DOD WU3IROC_Core[4,2,6]_[9079,48148]_component_data.tif - resolution #1",31,14,57,9,30,26,136,50,12,189,13,31,30,72,23,110,65,113,33,8,2826,32,0.0513077,0.317548,"4,2,6",155(rov)
"CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1",20,15,36,22,54,35,148,156,14,323,18,12,26,54,50,144,65,146,142,12,2582,14,0.0743177,0.298228,"4,2,7",155(lov)
"CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1",6,3,10,5,13,18,51,46,8,153,2,5,14,28,19,81,71,111,119,5,2028,11,0.041293800000000006,0.2304715,"4,2,8",155(lov)
"CIHR DOD WU3IROC_Core[4,2,9]_[8721,51728]_component_data.tif - resolution #1",0,0,0,1,1,17,2,0,1,262,1,0,0,1,0,0,25,0,0,0,2545,0,0.052427,0.38111609999999996,"4,2,9",225
"CIHR DOD WU3IROC_Core[4,3,1]_[8196,42086]_component_data.tif - resolution #1",5,33,26,51,4,177,0,2,0,1644,2,0,0,0,0,0,0,0,0,1,52,0,0.36710370000000003,0.0046036,"4,3,1",160(om)
"CIHR DOD WU3IROC_Core[4,3,2]_[8124,43351]_component_data.tif - resolution #1",10,42,40,35,9,140,8,0,0,2361,7,0,1,0,1,0,8,0,0,1,489,0,0.3685853,0.0437961,"4,3,2",160(om)
"CIHR DOD WU3IROC_Core[4,3,5]_[7886,46812]_component_data.tif - resolution #1",6,44,58,76,19,86,31,110,6,1178,13,0,0,1,3,4,9,5,0,0,521,0,0.2782504,0.09080060000000001,"4,3,5",178(om)
"CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1",15,90,69,77,22,123,36,58,0,1216,10,0,6,4,7,0,32,7,0,0,958,0,0.2432666,0.1241815,"4,3,6",178(om)
"CIHR DOD WU3IROC_Core[4,3,7]_[7743,49174]_component_data.tif - resolution #1",0,1,0,1,0,5,0,0,0,118,0,0,4,0,7,0,16,0,0,0,1496,2,0.0510665,0.19085470000000002,"4,3,7",194(rov)
"CIHR DOD WU3IROC_Core[4,3,8]_[7623,50320]_component_data.tif - resolution #1",0,1,0,1,5,19,0,0,0,315,2,0,0,0,3,1,6,1,0,0,545,0,0.1107785,0.0749466,"4,3,8",194(rov)
"CIHR DOD WU3IROC_Core[4,3,9]_[7528,51489]_component_data.tif - resolution #1",0,15,10,9,5,38,26,1,108,977,13,0,1,1,0,0,11,0,0,0,548,3,0.1362366,0.07368889999999999,"4,3,9",194(lov)
