Image	Neighborhood	CD3pCD8nPD1p	CD3pCD8pPD1n	CD68pPDL1n	CD3pCD8nPD1n	CD3pCD8pPD1p	CD79ApCD20n	PD1p	CD68pPDL1p	CD20p	LMA
CIHR DOD WU3IROC_Core[1,6,8]_[14308,37499]_component_data.tif - resolution #1	Cluster_1	0	7	6	1	2	1	0	0	0	2
CIHR DOD WU3IROC_Core[1,6,8]_[14308,37499]_component_data.tif - resolution #1	Cluster_2	1	0	17	0	0	0	0	0	0	1
CIHR DOD WU3IROC_Core[1,7,4]_[13306,32703]_component_data.tif - resolution #1	Cluster_1	5	8	3	3	6	6	1	2	0	4
CIHR DOD WU3IROC_Core[1,7,4]_[13306,32703]_component_data.tif - resolution #1	Cluster_2	5	2	1	0	3	1	4	1	2	4
CIHR DOD WU3IROC_Core[1,7,4]_[13306,32703]_component_data.tif - resolution #1	Cluster_3	0	0	6	0	2	0	0	9	0	7
CIHR DOD WU3IROC_Core[1,7,4]_[13306,32703]_component_data.tif - resolution #1	Cluster_4	8	6	6	5	9	3	3	2	2	4
CIHR DOD WU3IROC_Core[1,7,4]_[13306,32703]_component_data.tif - resolution #1	Cluster_5	8	6	7	1	8	3	2	0	0	4
CIHR DOD WU3IROC_Core[1,7,4]_[13306,32703]_component_data.tif - resolution #1	Cluster_6	4	6	6	1	4	3	0	2	0	4
CIHR DOD WU3IROC_Core[1,7,5]_[13234,33896]_component_data.tif - resolution #1	Cluster_1	5	4	4	5	1	0	1	2	0	4
CIHR DOD WU3IROC_Core[1,7,5]_[13234,33896]_component_data.tif - resolution #1	Cluster_2	5	4	6	2	3	1	3	0	0	4
CIHR DOD WU3IROC_Core[1,7,6]_[13187,35065]_component_data.tif - resolution #1	Cluster_1	2	1	12	1	1	4	0	0	0	3
CIHR DOD WU3IROC_Core[1,7,6]_[13187,35065]_component_data.tif - resolution #1	Cluster_2	0	2	6	3	0	0	0	0	5	4
CIHR DOD WU3IROC_Core[1,7,6]_[13187,35065]_component_data.tif - resolution #1	Cluster_3	18	19	15	28	16	4	2	0	14	4
CIHR DOD WU3IROC_Core[1,7,6]_[13187,35065]_component_data.tif - resolution #1	Cluster_4	10	7	14	7	0	3	0	2	4	4
CIHR DOD WU3IROC_Core[1,7,6]_[13187,35065]_component_data.tif - resolution #1	Cluster_5	3	5	10	4	3	0	1	0	2	4
CIHR DOD WU3IROC_Core[1,7,6]_[13187,35065]_component_data.tif - resolution #1	Cluster_6	2	7	17	8	7	2	0	0	51	4
CIHR DOD WU3IROC_Core[1,7,9]_[12948,38788]_component_data.tif - resolution #1	Cluster_1	11	2	11	6	10	0	3	3	2	4
CIHR DOD WU3IROC_Core[1,8,1]_[12137,29075]_component_data.tif - resolution #1	Cluster_1	4	4	18	4	1	0	1	0	0	3
CIHR DOD WU3IROC_Core[2,1,1]_[9696,28982]_component_data.tif - resolution #1	Cluster_1	6	12	9	3	2	0	1	19	0	7
CIHR DOD WU3IROC_Core[2,1,1]_[9696,28982]_component_data.tif - resolution #1	Cluster_2	0	2	7	4	1	0	0	4	0	4
CIHR DOD WU3IROC_Core[2,2,10]_[8145,39673]_component_data.tif - resolution #1	Cluster_1	0	0	8	1	4	0	0	16	0	7
CIHR DOD WU3IROC_Core[2,2,5]_[8384,33587]_component_data.tif - resolution #1	Cluster_1	6	2	5	36	1	1	1	2	14	4
CIHR DOD WU3IROC_Core[2,2,5]_[8384,33587]_component_data.tif - resolution #1	Cluster_2	1	1	3	8	0	0	2	3	5	4
CIHR DOD WU3IROC_Core[2,2,5]_[8384,33587]_component_data.tif - resolution #1	Cluster_3	9	10	9	29	1	1	4	1	9	4
CIHR DOD WU3IROC_Core[2,2,5]_[8384,33587]_component_data.tif - resolution #1	Cluster_4	1	1	5	2	2	2	1	8	0	3
CIHR DOD WU3IROC_Core[2,2,5]_[8384,33587]_component_data.tif - resolution #1	Cluster_5	2	3	4	6	0	1	0	5	1	4
CIHR DOD WU3IROC_Core[2,2,5]_[8384,33587]_component_data.tif - resolution #1	Cluster_6	11	3	2	15	1	0	0	0	22	4
CIHR DOD WU3IROC_Core[2,2,6]_[8360,34709]_component_data.tif - resolution #1	Cluster_1	5	3	7	7	4	0	3	0	1	4
CIHR DOD WU3IROC_Core[2,2,6]_[8360,34709]_component_data.tif - resolution #1	Cluster_2	1	3	3	7	1	0	0	0	10	4
CIHR DOD WU3IROC_Core[2,2,6]_[8360,34709]_component_data.tif - resolution #1	Cluster_3	1	2	4	12	0	0	0	0	17	4
CIHR DOD WU3IROC_Core[2,2,6]_[8360,34709]_component_data.tif - resolution #1	Cluster_4	14	7	10	26	5	1	12	1	28	4
CIHR DOD WU3IROC_Core[2,2,6]_[8360,34709]_component_data.tif - resolution #1	Cluster_5	4	2	2	4	4	0	7	0	2	4
CIHR DOD WU3IROC_Core[2,2,6]_[8360,34709]_component_data.tif - resolution #1	Cluster_6	0	1	15	1	0	0	2	2	0	1
CIHR DOD WU3IROC_Core[2,2,6]_[8360,34709]_component_data.tif - resolution #1	Cluster_7	3	4	10	29	6	1	0	0	3	4
CIHR DOD WU3IROC_Core[2,3,2]_[7262,30032]_component_data.tif - resolution #1	Cluster_1	0	0	18	1	0	0	2	0	0	1
CIHR DOD WU3IROC_Core[2,3,9]_[6952,38432]_component_data.tif - resolution #1	Cluster_1	4	2	45	5	1	0	7	0	0	1
CIHR DOD WU3IROC_Core[2,4,8]_[5783,37167]_component_data.tif - resolution #1	Cluster_1	2	8	5	21	2	0	2	0	98	4
CIHR DOD WU3IROC_Core[2,5,10]_[4542,39530]_component_data.tif - resolution #1	Cluster_1	3	0	1	2	0	0	1	11	0	7
CIHR DOD WU3IROC_Core[2,5,10]_[4542,39530]_component_data.tif - resolution #1	Cluster_2	1	1	2	6	0	0	1	9	0	7
CIHR DOD WU3IROC_Core[2,5,10]_[4542,39530]_component_data.tif - resolution #1	Cluster_3	1	4	13	3	1	0	0	8	0	3
CIHR DOD WU3IROC_Core[2,5,10]_[4542,39530]_component_data.tif - resolution #1	Cluster_4	3	5	9	1	1	0	2	1	0	3
CIHR DOD WU3IROC_Core[2,5,3]_[4804,31296]_component_data.tif - resolution #1	Cluster_1	4	0	9	3	0	0	5	14	0	7
CIHR DOD WU3IROC_Core[2,5,9]_[4542,38384]_component_data.tif - resolution #1	Cluster_1	6	6	0	1	0	0	1	12	0	7
CIHR DOD WU3IROC_Core[2,5,9]_[4542,38384]_component_data.tif - resolution #1	Cluster_2	3	1	0	1	1	3	1	8	0	7
CIHR DOD WU3IROC_Core[2,5,9]_[4542,38384]_component_data.tif - resolution #1	Cluster_3	1	0	11	7	0	0	1	0	0	3
CIHR DOD WU3IROC_Core[2,5,9]_[4542,38384]_component_data.tif - resolution #1	Cluster_4	4	2	1	0	0	6	1	6	0	6
CIHR DOD WU3IROC_Core[3,1,1]_[20395,42580]_component_data.tif - resolution #1	Cluster_1	2	0	3	4	5	0	5	0	6	4
CIHR DOD WU3IROC_Core[3,1,4]_[19987,46710]_component_data.tif - resolution #1	Cluster_1	0	0	31	0	0	0	0	0	0	1
CIHR DOD WU3IROC_Core[3,1,7]_[19772,50409]_component_data.tif - resolution #1	Cluster_1	1	5	8	4	0	1	0	0	0	3
CIHR DOD WU3IROC_Core[3,1,7]_[19772,50409]_component_data.tif - resolution #1	Cluster_2	1	2	5	2	1	0	3	2	0	4
CIHR DOD WU3IROC_Core[3,1,7]_[19772,50409]_component_data.tif - resolution #1	Cluster_3	5	12	1	8	4	0	1	0	0	2
CIHR DOD WU3IROC_Core[3,1,8]_[19605,51722]_component_data.tif - resolution #1	Cluster_1	0	0	4	0	2	0	0	11	0	7
CIHR DOD WU3IROC_Core[3,1,8]_[19605,51722]_component_data.tif - resolution #1	Cluster_2	9	20	50	16	4	0	1	3	0	3
CIHR DOD WU3IROC_Core[3,1,8]_[19605,51722]_component_data.tif - resolution #1	Cluster_3	4	3	6	2	2	0	0	0	0	3
CIHR DOD WU3IROC_Core[3,1,8]_[19605,51722]_component_data.tif - resolution #1	Cluster_4	6	5	12	2	1	0	0	2	0	3
