Image	Neighborhood	CD3pCD8nPD1p	CD3pCD8pPD1n	CD68pPDL1n	CD3pCD8nPD1n	CD3pCD8pPD1p	CD79ApCD20n	PD1p	CD68pPDL1p	CD20p	LMA
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_3	3	4	1	1	5	14	0	9	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_4	0	4	0	2	5	8	2	6	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_5	2	0	0	1	2	4	1	14	0	7
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_6	12	0	2	4	5	21	1	27	0	7
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_7	2	0	2	0	4	7	0	0	3	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_8	2	2	4	2	2	9	2	3	0	6
CIHR DOD WU3IROC_Core[4,2,7]_[8888,49270]_component_data.tif - resolution #1	Cluster_9	4	8	4	0	18	3	1	7	11	5
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_1	2	0	11	1	2	5	0	7	0	3
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_2	1	2	0	0	3	9	1	7	1	6
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_3	3	5	0	2	5	6	0	19	3	7
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_4	3	1	1	0	10	12	0	14	1	6
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_5	1	0	1	0	2	1	2	7	2	7
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_6	0	1	0	1	3	1	0	10	0	7
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_7	0	0	0	1	2	6	0	9	0	6
CIHR DOD WU3IROC_Core[4,2,8]_[8840,50534]_component_data.tif - resolution #1	Cluster_8	2	0	0	1	3	8	2	4	0	6
CIHR DOD WU3IROC_Core[4,3,5]_[7886,46812]_component_data.tif - resolution #1	Cluster_1	0	11	0	3	0	0	1	1	1	2
CIHR DOD WU3IROC_Core[4,3,5]_[7886,46812]_component_data.tif - resolution #1	Cluster_2	8	4	0	2	9	0	2	8	1	7
CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1	Cluster_1	3	12	3	11	0	1	1	14	2	4
CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1	Cluster_2	1	0	14	0	0	0	0	1	0	1
CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1	Cluster_3	3	8	6	5	2	2	2	4	0	4
CIHR DOD WU3IROC_Core[4,3,6]_[7814,47957]_component_data.tif - resolution #1	Cluster_4	6	2	1	6	1	2	0	2	0	4
