Image,Neighborhood,CD3pCD8nPD1n,CD3pCD8nPD1p,CD3pCD8pPD1n,CD68pPDL1n,CD68pPDL1p,CD3pCD8pPD1p,CD79ApCD20p,CD79ApCD20n,CD3nPD1p,LMA
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_1,18,1,8,2,8,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_10,32,3,14,5,25,2,2,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_11,6,0,6,2,4,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_12,19,0,3,0,1,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_13,5,1,8,2,0,1,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_14,9,2,11,1,12,1,1,1,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_15,17,1,28,0,7,1,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_16,9,2,3,1,0,0,1,1,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_17,14,0,6,1,1,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_18,17,3,6,2,7,1,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_19,44,5,32,7,16,2,1,2,1,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_2,16,6,9,9,11,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_20,79,12,46,8,31,3,5,1,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_21,7,3,6,0,7,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_22,7,0,6,2,0,0,2,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_23,9,0,4,5,0,0,0,0,0,4
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_24,46,9,39,3,15,0,5,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_25,7,4,2,1,6,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_26,12,8,7,0,35,4,1,0,2,5
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_27,6,1,8,4,6,0,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_28,10,1,14,0,7,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_29,45,5,42,1,23,3,1,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_3,11,2,0,10,2,2,0,0,0,4
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_30,13,0,2,2,1,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_31,4,1,2,0,10,0,0,0,1,5
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_32,7,0,8,0,6,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_33,4,0,6,0,11,0,1,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_34,7,0,15,0,1,0,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_35,9,1,16,0,6,0,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_36,10,0,14,2,3,1,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_37,8,3,5,0,11,0,2,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_38,5,1,6,0,8,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_39,10,1,11,0,9,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_4,18,0,17,12,3,1,0,0,0,4
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_40,16,1,33,0,2,0,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_41,31,4,28,0,26,1,1,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_42,49,7,65,3,37,0,4,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_43,7,2,13,5,4,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_44,13,2,10,5,1,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_45,4,1,24,0,3,1,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_46,5,1,7,0,9,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_47,10,1,18,2,10,0,1,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_48,1,0,1,4,10,0,0,0,0,5
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_49,15,1,7,0,18,0,1,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_5,44,1,12,2,3,0,2,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_50,14,0,9,0,5,1,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_51,3,3,10,3,4,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_52,2,1,6,2,3,1,1,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_53,6,2,6,2,15,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_54,4,2,5,0,8,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_55,3,0,4,2,9,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_56,2,0,3,1,9,0,1,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_57,5,3,12,0,3,0,0,0,0,3
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_58,7,1,11,0,7,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_59,8,0,0,4,7,0,0,0,0,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_6,9,0,5,0,0,1,0,1,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_60,5,2,3,0,12,0,0,0,0,5
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_61,8,0,7,1,5,0,1,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_62,8,1,4,3,0,0,0,0,0,4
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_63,2,4,1,0,8,2,0,1,1,1
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_7,17,0,8,3,0,0,0,0,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_8,24,1,20,6,1,0,0,1,0,2
"032(OM)_[11423,43140]_component_data.tif - resolution #1",Cluster_9,22,2,5,0,9,1,0,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_1,4,3,13,0,7,1,2,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_10,23,6,16,1,19,2,4,2,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_11,4,1,9,2,6,0,0,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_12,3,2,5,0,11,0,1,0,0,5
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_13,0,0,0,33,0,0,0,0,0,4
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_14,25,11,16,0,31,0,1,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_15,7,1,17,4,3,2,0,0,0,3
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_16,12,2,13,11,2,0,0,0,0,3
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_17,6,4,6,3,6,3,0,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_18,2,1,3,3,7,0,0,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_19,8,4,4,0,8,1,0,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_2,9,3,8,1,2,0,0,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_20,4,1,8,0,2,1,1,0,0,3
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_21,0,0,9,3,14,0,0,0,0,5
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_22,4,1,6,3,2,0,1,0,0,3
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_23,5,1,6,0,8,2,1,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_24,8,0,18,0,12,0,3,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_25,11,1,4,0,6,0,1,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_26,62,20,40,1,19,1,2,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_27,65,9,67,6,14,0,4,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_28,8,2,6,1,3,0,1,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_29,15,3,18,0,12,1,1,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_3,28,3,27,0,12,0,1,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_30,4,1,1,0,11,0,0,0,3,5
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_31,6,2,5,0,8,0,5,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_32,11,1,7,4,4,0,0,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_33,13,0,6,2,6,0,0,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_34,6,1,4,2,2,0,1,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_35,15,1,11,4,10,0,0,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_36,9,3,8,0,0,0,1,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_37,7,0,12,0,7,1,1,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_4,11,1,5,1,6,0,0,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_5,3,1,8,1,8,1,1,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_6,20,3,7,0,12,0,0,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_7,10,0,5,2,2,1,0,0,0,2
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_8,16,0,7,2,11,0,1,0,0,1
"032(OM)_[11423,45234]_component_data.tif - resolution #1",Cluster_9,21,8,9,1,15,0,2,2,0,1
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_1,16,3,9,4,2,0,0,0,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_10,35,1,41,5,33,2,2,0,0,1
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_11,12,1,8,7,8,1,0,0,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_12,8,3,8,13,3,0,0,0,0,3
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_13,16,2,0,1,0,1,1,0,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_14,3,1,6,3,7,0,0,0,0,1
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_15,3,0,2,19,1,0,0,0,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_16,4,1,5,6,4,0,0,0,0,3
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_17,27,2,19,6,7,0,2,0,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_18,11,2,1,9,0,0,0,0,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_19,11,1,2,3,1,0,0,0,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_2,9,0,4,10,0,0,1,0,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_20,9,0,0,6,1,0,0,0,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_21,5,0,5,3,0,0,3,0,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_22,4,0,4,9,0,0,0,2,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_23,1,0,1,22,1,0,0,0,1,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_24,2,0,0,13,0,0,3,2,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_25,28,1,25,4,11,0,1,1,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_26,29,4,22,22,3,0,9,0,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_27,0,0,0,16,0,0,0,0,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_3,11,2,20,0,7,1,1,1,2,3
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_4,15,0,11,0,3,1,1,0,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_5,4,0,2,0,10,0,0,0,0,5
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_6,3,1,3,7,2,0,0,0,0,4
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_7,15,3,7,1,3,0,22,0,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_8,11,0,3,0,6,0,11,2,0,2
"032(OM)_[11423,47328]_component_data.tif - resolution #1",Cluster_9,69,12,37,6,9,1,3,0,2,2
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_1,1,0,4,12,0,0,0,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_10,0,0,2,25,0,0,0,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_11,11,0,7,18,1,0,1,1,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_12,4,1,11,6,5,0,1,1,0,3
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_13,6,1,5,13,3,0,0,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_14,3,1,7,1,4,0,0,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_15,7,0,2,4,6,0,0,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_16,5,0,13,0,1,0,1,0,0,3
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_17,23,1,12,0,9,0,3,0,0,2
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_18,7,0,8,1,23,0,5,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_19,0,0,1,1,27,0,0,2,0,5
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_2,6,0,7,1,7,0,0,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_20,9,1,4,0,11,0,4,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_21,20,0,17,0,6,0,2,0,0,2
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_22,11,1,6,0,13,0,1,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_23,3,2,3,7,2,0,1,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_24,9,1,6,6,0,0,1,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_25,8,1,4,0,12,0,0,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_26,6,0,4,0,12,0,5,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_27,1,0,8,37,3,0,0,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_28,7,0,13,3,6,0,0,0,0,1
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_29,10,0,6,5,4,0,0,0,0,2
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_3,3,0,9,4,21,0,0,0,1,5
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_30,14,0,14,4,5,0,1,0,0,2
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_31,6,0,13,0,1,0,2,0,0,3
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_4,3,0,3,11,0,0,0,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_5,22,4,7,4,2,0,0,0,0,2
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_6,3,0,1,12,0,0,0,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_7,10,4,1,2,0,0,0,0,0,2
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_8,9,0,0,9,0,0,0,0,0,4
"032(OM)_[11423,49422]_component_data.tif - resolution #1",Cluster_9,10,0,2,5,0,0,0,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_1,39,4,23,7,32,1,5,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_10,5,0,3,0,7,1,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_11,15,1,5,0,7,1,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_12,4,0,11,1,6,0,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_13,20,6,3,2,11,0,1,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_14,14,3,5,2,14,1,2,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_15,8,1,11,2,6,1,1,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_16,7,3,0,0,10,0,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_17,43,4,14,0,16,1,7,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_18,12,1,5,5,3,0,0,0,0,4
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_19,31,14,80,6,15,17,6,0,6,3
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_2,48,11,35,0,21,0,0,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_20,12,0,13,3,2,0,0,0,2,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_21,3,1,8,0,4,1,3,0,2,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_22,14,1,6,1,8,0,1,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_23,11,3,6,0,10,0,2,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_24,5,2,5,0,5,1,1,1,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_25,70,14,68,2,61,6,23,0,7,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_26,0,0,0,11,6,0,0,0,0,4
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_27,0,0,0,4,13,0,0,0,0,5
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_28,4,1,9,2,7,0,0,1,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_29,0,0,0,15,6,0,0,0,0,4
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_3,11,2,10,1,6,0,0,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_30,2,0,3,0,11,1,0,0,0,5
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_31,0,1,0,14,1,0,0,0,0,4
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_32,3,3,1,3,5,1,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_33,4,0,3,1,12,1,0,0,0,5
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_34,4,0,3,2,7,1,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_35,6,1,4,5,5,0,0,0,0,4
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_36,8,1,2,2,8,0,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_37,2,4,7,2,0,1,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_38,16,1,3,2,4,1,0,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_39,8,2,4,1,1,0,0,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_4,38,5,89,0,20,3,2,0,0,3
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_40,25,10,17,4,4,0,0,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_41,7,3,5,3,0,0,1,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_42,4,1,2,0,11,0,1,0,0,5
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_43,5,0,3,0,8,0,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_44,1,0,14,1,9,0,0,0,0,3
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_45,7,1,1,0,9,0,0,0,0,5
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_46,13,2,2,0,6,0,2,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_47,9,1,5,2,8,0,0,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_5,19,7,35,0,4,1,1,0,0,3
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_6,40,5,18,4,21,1,3,0,0,1
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_7,6,0,0,1,13,0,0,0,0,5
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_8,6,3,11,0,5,0,1,0,0,2
"032(OM)_[14216,43140]_component_data.tif - resolution #1",Cluster_9,14,4,16,0,18,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_1,7,0,14,0,2,0,0,0,0,3
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_10,6,1,6,0,4,0,1,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_11,12,0,5,1,2,0,0,3,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_12,7,0,7,0,6,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_13,15,5,1,0,1,0,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_14,8,3,7,2,4,0,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_15,7,1,2,4,3,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_16,14,3,19,1,6,1,1,3,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_17,0,0,0,17,3,0,0,0,0,4
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_18,26,4,6,0,5,0,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_19,10,2,10,5,22,0,2,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_2,15,2,17,2,4,0,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_20,18,9,18,5,6,0,3,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_21,8,0,3,1,7,0,0,1,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_22,2,1,6,0,7,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_23,6,0,2,0,9,0,0,1,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_24,4,0,4,6,1,0,1,0,0,4
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_25,13,2,3,2,17,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_26,14,4,15,2,16,0,1,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_27,8,1,0,8,0,0,0,0,0,4
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_28,10,4,2,0,3,0,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_29,5,2,4,3,3,0,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_3,5,1,2,5,8,0,2,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_30,3,2,2,2,6,0,0,1,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_31,7,1,4,0,3,1,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_32,11,1,3,2,7,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_33,2,5,8,6,1,0,0,0,0,3
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_34,9,1,6,2,3,0,0,1,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_35,8,2,6,1,1,1,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_36,4,3,14,0,10,0,1,1,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_37,16,1,3,2,12,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_38,12,0,1,0,5,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_4,6,0,7,3,1,0,0,0,0,2
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_5,10,2,10,4,19,2,1,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_6,9,5,3,0,7,0,1,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_7,12,2,4,1,12,0,0,1,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_8,3,1,7,0,9,0,0,0,0,1
"032(OM)_[14216,45234]_component_data.tif - resolution #1",Cluster_9,7,1,8,1,4,0,0,0,0,2
"032(OM)_[14216,47328]_component_data.tif - resolution #1",Cluster_1,3,0,7,0,6,0,0,0,0,1
"032(OM)_[14216,47328]_component_data.tif - resolution #1",Cluster_2,5,0,1,2,8,0,0,0,0,5
"032(OM)_[14216,47328]_component_data.tif - resolution #1",Cluster_3,15,1,6,2,2,0,1,0,0,2
"032(OM)_[14216,47328]_component_data.tif - resolution #1",Cluster_4,13,1,0,2,1,0,0,0,0,2
"032(OM)_[14216,47328]_component_data.tif - resolution #1",Cluster_5,3,1,2,8,6,0,0,0,0,4
"032(OM)_[14216,49422]_component_data.tif - resolution #1",Cluster_1,68,9,42,1,23,1,5,0,0,2
"032(OM)_[14216,49422]_component_data.tif - resolution #1",Cluster_10,8,0,8,5,3,0,0,0,0,2
"032(OM)_[14216,49422]_component_data.tif - resolution #1",Cluster_11,8,1,17,0,6,0,1,3,0,3
"032(OM)_[14216,49422]_component_data.tif - resolution #1",Cluster_12,5,3,8,1,1,0,3,0,0,2
